"","employees","salaries.2016","salaries.2017","change","got.raise"
"63","Employee 63",45968.4454696253,48872.7359869517,2904.29051732644,TRUE
"64","Employee 64",40392.2898299061,45829.0130610112,5436.72323110513,TRUE
"65","Employee 65",43932.6548925601,49966.7337210849,6034.0788285248,TRUE
"66","Employee 66",43551.1933080852,45704.349760199,2153.15645211376,TRUE
"67","Employee 67",47776.4222491533,57642.683602171,9866.26135301776,TRUE
"68","Employee 68",47168.237043079,46410.2811482735,-757.955894805491,FALSE
"69","Employee 69",49616.7645929381,53071.0945569444,3454.32996400632,TRUE
"70","Employee 70",40080.8433908969,49625.897554215,9545.05416331813,TRUE
"71","Employee 71",44645.0866130181,52501.1979183182,7856.11130530015,TRUE
"72","Employee 72",47866.668687202,50496.1925919633,2629.5239047613,TRUE
"73","Employee 73",40121.8840596266,36695.5967422109,-3426.2873174157,FALSE
"74","Employee 74",40368.5474023223,47105.0626435317,6736.51524120942,TRUE
"75","Employee 75",43194.4189034402,49919.7300232481,6725.31111980788,TRUE
"76","Employee 76",44371.2323508225,44516.0033588763,144.771008053795,TRUE
"77","Employee 77",44984.740044456,49345.7430659328,4361.00302147679,TRUE
"78","Employee 78",48561.4314302802,48768.0919107515,206.660480471328,TRUE
"79","Employee 79",45380.5112582631,48634.4030569308,3253.89179866761,TRUE
"80","Employee 80",43472.2502925433,46686.8973185774,3214.64702603407,TRUE
"81","Employee 81",44883.6029763333,40455.4480069783,-4428.15496935509,FALSE
"82","Employee 82",47158.5989836603,51355.3289265838,4196.72994292341,TRUE
"83","Employee 83",40000.5877809599,35503.929060651,-4496.65872030891,FALSE
"84","Employee 84",49684.6783789806,59114.8219443858,9430.14356540516,TRUE
"85","Employee 85",42988.6832274497,45752.4390786421,2763.7558511924,TRUE
"86","Employee 86",43051.6663263552,38216.6212692391,-4835.04505711608,FALSE
"87","Employee 87",44336.3281292841,51665.5601328239,7329.2320035398,TRUE
"88","Employee 88",43725.6926554255,44972.1332464833,1246.44059105776,TRUE
"89","Employee 89",43362.3624569736,44341.6996952146,979.337238240987,TRUE
"90","Employee 90",44109.7897058353,53334.150594892,9224.3608890567,TRUE
"91","Employee 91",42822.9673393071,49259.9338549189,6436.96651561186,TRUE
"92","Employee 92",44124.0125172772,42221.7054804787,-1902.30703679845,FALSE
"93","Employee 93",49015.153653454,47514.0484340955,-1501.10521935858,FALSE
"94","Employee 94",40316.3455589674,42682.7468932606,2366.40133429319,TRUE
"95","Employee 95",49265.9023194574,56832.0238136221,7566.12149416469,TRUE
"96","Employee 96",44738.7831332162,43127.703233622,-1611.07989959419,FALSE
"97","Employee 97",44973.8999595866,49549.8974109069,4575.99745132029,TRUE
"98","Employee 98",45740.7898479141,55535.2909199428,9794.50107202865,TRUE
"99","Employee 99",48544.6478636004,54593.4453140944,6048.79745049402,TRUE
"100","Employee 100",47185.4523126967,49070.8623942919,1885.41008159518,TRUE
